FISCAL YEAR,Treasury Bills*,Treasury Bonds,Government Stocks,Overdraft at Central Bank,Advances from Commercial Banks,Other Domestic Debt**,Total Domestic Debt***
19-Feb,"633,990.55","1,235,170.19",0,"25,997.41","5,863.37",798.7214036,"1,901,820.24"
19-Mar,"640,161.50","1,268,158.79",0,"30,270.16","5,956.93",705.8861211,"1,945,253.26"
19-Apr,"651,292.05","1,317,024.09",0,0,"5,657.06",693.03,"1,974,666.22"
19-May,"708,469.30","1,325,276.24",0,0,"10,856.49",869.6,"2,045,471.63"
19-Jun,"767,994.90","1,331,975.09",0,0,"11,019.90",720.55,"2,111,710.44"
19-Jul,"764,550.85","1,337,153.94",0,"9,209.00","12,169.33",705.46,"2,123,788.59"
19-Aug,"745,475.70","1,356,635.70",0,"21,189.80","11,934.77",697.97,"2,135,933.94"
19-Sep,"748,642.50","1,386,558.71",0,"24,716.63","12,217.67",699.6335986,"2,172,835.14"
19-Oct,"759,655.95","1,402,493.31",0,"17,382.49","15,977.18",695.84,"2,196,204.77"
19-Nov,"727,863.95","1,451,162.76",0,"40,662.24","8,281.87",691.8738628,"2,228,662.69"
19-Dec,"708,562.50","1,461,246.41",0,"42,316.13","8,048.20",696.4112988,"2,220,869.65"
19-Jan,"755,312.40","1,453,911.31",0,"29,917.29","7,472.41",681.6071681,"2,247,295.02"
19-Feb,"791,620.30","1,492,150.17",0,"46,207.85","7,530.85",704.5456317,"2,338,213.71"
19-Mar,"795,984.90","1,527,836.62",0,"39,654.62","7,476.00",698.3917314,"2,371,650.53"
19-Apr,"812,968.10","1,550,054.62",0,"44,025.33","7,494.16",710.6014144,"2,415,252.80"
19-May,"862,010.20","1,533,060.12",0,"44,353.23","7,450.49",701.1784039,"2,447,575.21"
19-Jun,"901,906.65","1,511,872.67",0,"56,849.24","7,503.83",702.7110067,"2,478,835.09"
19-Jul,"968,948.90","1,509,003.52",0,"26,340.05","8,089.27",695.2028001,"2,513,076.94"
19-Aug,"945,208.05","1,524,465.67",0,"15,055.18","7,717.87",705.016709,"2,493,151.78"
19-Sep,"966,810.65","1,528,770.87",0,"36,290.51","7,587.72",688.8420584,"2,540,148.59"
19-Oct,"974,725.55","1,527,620.85",0,"25,174.32","7,550.44",680.7221972,"2,535,751.88"
19-Nov,"972,855.70","1,536,787.01",0,"44,892.06","8,188.96",694.8994403,"2,563,418.63"
19-Dec,"922,150.30","1,552,915.06",0,"64,824.21","8,182.54",696.6579317,"2,548,768.78"
19-Jan,"967,274.65","1,591,340.41",0,"36,890.44","7,987.80",696.0848573,"2,604,189.40"
19-Feb,"994,273.70","1,667,990.21",0,"19,665.99","8,354.81",687.3150194,"2,690,972.03"
19-Mar,"971,275.30","1,685,015.86",0,"36,895.82","8,497.81",1248.475666,"2,702,933.27"
19-Apr,"1,025,174.05","1,692,111.26",0,"13,784.09","8,581.52","1,254.72","2,740,905.64"
19-May,"987,246.90","1,745,762.52",0,"35,969.10","2,386.63","1,248.56","2,772,613.71"
19-Jun,"975,315.00","1,748,149.60",0,"57,327.70","3,421.67","1,269.15","2,785,483.13"
19-Jul,"974,613.60","1,798,702.55",0,"65,974.38","3,134.32","1,242.03","2,843,666.89"
19-Aug,"968,954.40","1,842,375.01",0,"59,552.50","3,368.22","1,252.52","2,875,502.65"
19-Sep,"949,974.30","1,828,777.16",0,"68,231.52","3,403.54","1,252.69","2,851,639.21"
19-Oct,"917,880.10","1,909,781.93",0,"65,503.90","2,726.83","1,248.60","2,897,141.36"
19-Nov,"917,192.00","1,938,126.38",0,"57,230.74","3,560.20","1,252.97","2,917,362.28"
19-Dec,"900,000.60","1,974,693.73",0,"63,724.46","2,446.92","1,237.83","2,942,103.54"
31-Jan,"900,519.40","2,038,709.58",0,"59,193.96","3,480.11","1,242.26","3,003,145.30"
29-Feb,"938,379.00","2,066,892.68",0,"30,465.84","3,421.27","1,250.76","3,040,409.55"
31-Mar,"921,687.70","2,090,287.93",0,"54,181.61","2,790.50","1,241.64","3,070,189.37"
30-Apr,"909,825.35","2,149,717.33",0,"54,592.58","4,043.07","1,237.48","3,119,415.80"
31-May,"918,787.10","2,179,452.28",0,"50,147.52","3,511.06","1,245.98","3,153,143.94"
30-Jun,"907,651.50","2,219,444.08",0,"47,149.78","2,007.33","1,273.18","3,177,525.87"
31-Jul,970609.95,2297846.541,0,0,3841.855412,1253.09342,3273551.439
31-Aug,936232.7,2418317.991,0,43400.39253,3305.258268,1244.388202,3402500.73
30-Sep,914688.6,2482244.141,0,56206.33006,2717.309311,1250.12224,3457106.502
31-Oct,878634.75,2511271.341,0,63534.99445,2937.442524,1266.100566,3457644.628
30-Nov,884210.2,2541515.391,0,52706.83103,2964.599377,1256.534411,3482653.555
31-Dec,875669.7,2561331.241,0,47597.69923,2699.272022,1243.266509,3488541.178
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
* The stock of Treasury bills includes Frozen Government Debt,,,,,,,
"** Other domestic debt includes Items in transit,Securities rediscounted and Tax Reserve Certificates ",,,,,,,
*** Gross Domestic debt excludes IMF funds on-lent by CBK to Government which are accounted ,,,,,,,
     for under External Debt,,,,,,,
Source: Central Bank of Kenya,,,,,,,
